,work_year,experience_level,employment_type,job_title,salary,salary_currency,employee_residence,remote_ratio,company_location,company_size
289,2022,SE,FT,Data Engineer,135000,USD,US,100,US,M
290,2022,SE,FT,Data Analyst,155000,USD,US,100,US,M
291,2022,SE,FT,Data Analyst,120600,USD,US,100,US,M
292,2022,MI,FT,Data Scientist,130000,USD,US,0,US,M
293,2022,MI,FT,Data Scientist,90000,USD,US,0,US,M
294,2022,MI,FT,Data Engineer,170000,USD,US,100,US,M
295,2022,MI,FT,Data Engineer,150000,USD,US,100,US,M
296,2022,SE,FT,Data Analyst,102100,USD,US,100,US,M
297,2022,SE,FT,Data Analyst,84900,USD,US,100,US,M
298,2022,SE,FT,Data Scientist,136620,USD,US,100,US,M
299,2022,SE,FT,Data Scientist,99360,USD,US,100,US,M
300,2022,SE,FT,Data Scientist,90000,GBP,GB,0,GB,M
301,2022,SE,FT,Data Scientist,80000,GBP,GB,0,GB,M
302,2022,SE,FT,Data Scientist,146000,USD,US,100,US,M
303,2022,SE,FT,Data Scientist,123000,USD,US,100,US,M
304,2022,EN,FT,Data Engineer,40000,GBP,GB,100,GB,M
305,2022,SE,FT,Data Analyst,99000,USD,US,0,US,M
306,2022,SE,FT,Data Analyst,116000,USD,US,0,US,M
307,2022,MI,FT,Data Analyst,106260,USD,US,0,US,M
308,2022,MI,FT,Data Analyst,126500,USD,US,0,US,M
309,2022,EX,FT,Data Engineer,242000,USD,US,100,US,M
310,2022,EX,FT,Data Engineer,200000,USD,US,100,US,M
311,2022,MI,FT,Data Scientist,50000,GBP,GB,0,GB,M
312,2022,MI,FT,Data Scientist,30000,GBP,GB,0,GB,M
313,2022,MI,FT,Data Engineer,60000,GBP,GB,0,GB,M
314,2022,MI,FT,Data Engineer,40000,GBP,GB,0,GB,M
315,2022,SE,FT,Data Scientist,165220,USD,US,100,US,M
316,2022,EN,FT,Data Engineer,35000,GBP,GB,100,GB,M
317,2022,SE,FT,Data Scientist,120160,USD,US,100,US,M
318,2022,SE,FT,Data Analyst,90320,USD,US,100,US,M
319,2022,SE,FT,Data Engineer,181940,USD,US,0,US,M
320,2022,SE,FT,Data Engineer,132320,USD,US,0,US,M
321,2022,SE,FT,Data Engineer,220110,USD,US,0,US,M
322,2022,SE,FT,Data Engineer,160080,USD,US,0,US,M
323,2022,SE,FT,Data Scientist,180000,USD,US,0,US,L
324,2022,SE,FT,Data Scientist,120000,USD,US,0,US,L
325,2022,SE,FT,Data Analyst,124190,USD,US,100,US,M
326,2022,EX,FT,Data Analyst,130000,USD,US,100,US,M
327,2022,EX,FT,Data Analyst,110000,USD,US,100,US,M
328,2022,SE,FT,Data Analyst,170000,USD,US,100,US,M
